testing_set_index	precision	recall	F1	MCC	AUC	fungal_FP	bacterial_FP	viral_FN	toolcombo	numtools
2	0.7220543806646526	0.478	0.5752105896510229	0.5505751001686587	0.7283	0	6323	522	0 0 0 1 0 0	1
2	0.7220543806646526	0.478	0.5752105896510229	0.5505751001686587	0.7283	0	6323	522	0 1 0 1 0 0	2
2	0.6273637374860956	0.564	0.593996840442338	0.5506494743910566	0.8926	0	6183	436	1 0 0 0 0 0	1
2	0.6273637374860956	0.564	0.593996840442338	0.5506494743910566	0.8926	0	6183	436	1 1 0 0 0 0	2
4	0.5761467889908257	0.628	0.6009569377990431	0.5531358779765141	0.9031	171	6064	372	1 0 0 0 0 1	2
4	0.5761467889908257	0.628	0.6009569377990431	0.5531358779765141	0.9031	171	6064	372	1 1 0 0 0 1	3
6	0.6291390728476821	0.57	0.5981112277019937	0.5548561977010261	0.8944	0	6166	430	1 0 0 0 0 0	1
6	0.6291390728476821	0.57	0.5981112277019937	0.5548561977010261	0.8944	0	6166	430	1 1 0 0 0 0	2
10	0.6129032258064516	0.589	0.6007139214686384	0.5556073267818864	0.891	0	6150	411	1 0 0 1 0 0	2
10	0.6129032258064516	0.589	0.6007139214686384	0.5556073267818864	0.891	0	6150	411	1 1 0 1 0 0	3
9	0.6937669376693767	0.512	0.5891829689298044	0.557089844476837	0.7913	0	6266	488	0 0 0 1 0 1	2
9	0.6937669376693767	0.512	0.5891829689298044	0.557089844476837	0.7913	0	6266	488	0 1 0 1 0 1	3
3	0.7011019283746557	0.509	0.589803012746234	0.5591011155992289	0.7925	0	6293	491	0 0 0 1 0 1	2
3	0.7011019283746557	0.509	0.589803012746234	0.5591011155992289	0.7925	0	6293	491	0 1 0 1 0 1	3
10	0.5679442508710801	0.652	0.6070763500931098	0.5597011823228578	0.9037	0	6054	348	1 0 0 1 0 1	3
10	0.5679442508710801	0.652	0.6070763500931098	0.5597011823228578	0.9037	0	6054	348	1 1 0 1 0 1	4
3	0.6356589147286822	0.574	0.6032580136626379	0.5608271016413775	0.8903	0	6186	426	1 0 0 0 0 0	1
3	0.6356589147286822	0.574	0.6032580136626379	0.5608271016413775	0.8903	0	6186	426	1 1 0 0 0 0	2
3	0.5822669104204753	0.637	0.6084049665711557	0.5615061476812123	0.9019	0	6086	363	1 0 0 0 0 1	2
3	0.5822669104204753	0.637	0.6084049665711557	0.5615061476812123	0.9019	0	6086	363	1 1 0 0 0 1	3
5	0.6957104557640751	0.519	0.5945017182130585	0.5622350491796407	0.7954	0	6279	481	0 0 0 1 0 1	2
5	0.6957104557640751	0.519	0.5945017182130585	0.5622350491796407	0.7954	0	6279	481	0 1 0 1 0 1	3
3	0.9052132701421801	0.382	0.5372714486638537	0.5624033502498842	0.8272	153	6456	618	0 0 1 0 0 1	2
3	0.9052132701421801	0.382	0.5372714486638537	0.5624033502498842	0.8272	153	6456	618	0 1 1 0 0 1	3
2	0.5819004524886878	0.643	0.6109263657957246	0.5641646137117884	0.9063	0	6086	357	1 0 0 0 0 1	2
2	0.5819004524886878	0.643	0.6109263657957246	0.5641646137117884	0.9063	0	6086	357	1 1 0 0 0 1	3
4	0.71875	0.506	0.5938967136150235	0.5660985364992202	0.7881	0	6290	494	0 0 0 1 0 1	2
4	0.71875	0.506	0.5938967136150235	0.5660985364992202	0.7881	0	6290	494	0 1 0 1 0 1	3
