toolcombo,toolcombo2,assembly,num_viruses,prop_vir,numtools
1 0 0 0 1 1,tnv 0 0 0 VS VS2,Nieuwkoop_DHB,51,0.06845637583892618,3
1 0 1 0 0 1,tnv 0 tv 0 0 VS2,South_Holland_Dla,14,0.06862745098039216,3
1 0 1 0 1 1,tnv 0 tv 0 VS VS2,South_Holland_Dla,14,0.06862745098039216,4
1 0 1 1 0 1,tnv 0 tv VB 0 VS2,South_Holland_Dla,14,0.06862745098039216,4
1 0 1 1 1 1,tnv 0 tv VB VS VS2,South_Holland_Dla,14,0.06862745098039216,5
1 1 1 0 0 0,tnv DVF tv 0 0 0,Spannenburg,259,0.06884635832004253,3
1 1 1 0 1 0,tnv DVF tv 0 VS 0,Spannenburg,259,0.06884635832004253,4
1 1 0 0 0 0,tnv DVF 0 0 0 0,Amsterdam_Leid,60,0.06952491309385864,2
1 1 0 0 1 0,tnv DVF 0 0 VS 0,Amsterdam_Leid,60,0.06952491309385864,3
0 1 0 1 0 0,0 DVF 0 VB 0 0,Nieuwkoop_DHB,52,0.0697986577181208,2
0 1 0 1 1 0,0 DVF 0 VB VS 0,Nieuwkoop_DHB,52,0.0697986577181208,3
1 1 1 0 0 0,tnv DVF tv 0 0 0,Nieuwkoop_DHB,52,0.0697986577181208,3
1 1 1 0 1 0,tnv DVF tv 0 VS 0,Nieuwkoop_DHB,52,0.0697986577181208,4
1 1 1 1 0 0,tnv DVF tv VB 0 0,Spannenburg,265,0.07044125465178097,4
1 1 1 1 1 0,tnv DVF tv VB VS 0,Spannenburg,265,0.07044125465178097,5
1 1 0 1 0 0,tnv DVF 0 VB 0 0,Amsterdam_Leid,61,0.07068366164542295,3
1 1 0 1 1 0,tnv DVF 0 VB VS 0,Amsterdam_Leid,61,0.07068366164542295,4
1 0 0 1 0 1,tnv 0 0 VB 0 VS2,Spannenburg,268,0.07123870281765018,3
1 0 0 1 1 1,tnv 0 0 VB VS VS2,Spannenburg,268,0.07123870281765018,4
1 1 0 1 0 1,tnv DVF 0 VB 0 VS2,Amsterdam_Wee,37,0.07129094412331406,4
1 1 0 1 1 1,tnv DVF 0 VB VS VS2,Amsterdam_Wee,37,0.07129094412331406,5
1 0 0 1 0 1,tnv 0 0 VB 0 VS2,Nieuwkoop_DHB,54,0.07248322147651007,3
1 0 0 1 1 1,tnv 0 0 VB VS VS2,Nieuwkoop_DHB,54,0.07248322147651007,4
1 1 1 1 0 0,tnv DVF tv VB 0 0,Nieuwkoop_DHB,54,0.07248322147651007,4
1 1 1 1 1 0,tnv DVF tv VB VS 0,Nieuwkoop_DHB,54,0.07248322147651007,5
1 1 0 1 0 0,tnv DVF 0 VB 0 0,Exeter_Maria,12,0.07453416149068323,3
1 1 0 1 1 0,tnv DVF 0 VB VS 0,Exeter_Maria,12,0.07453416149068323,4
0 1 0 1 0 0,0 DVF 0 VB 0 0,Cardiff_Maria,47,0.0766721044045677,2
0 1 0 1 1 0,0 DVF 0 VB VS 0,Cardiff_Maria,47,0.0766721044045677,3
