"","toolcombo","toolcombo2","assembly","num_viruses","prop_vir","numtools","environment"
"4241","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Fa13VDMM15DNFa13VDMM15DNFD",15838,0.831216542458276,5,"Lake_Michigan"
"4242","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Fa13VDMM15DNFa13VDMM15DNFD",15838,0.831216542458276,6,"Lake_Michigan"
"4243","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Su13VDMM15SNSu13VDMM15SNFD",130,0.833333333333333,4,"Lake_Michigan"
"4244","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Su13VDMM15SNSu13VDMM15SNFD",130,0.833333333333333,5,"Lake_Michigan"
"4245","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Su13VDMM15SNSu13VDMM15SNFD",130,0.833333333333333,5,"Lake_Michigan"
"4246","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Su13VDMM15SNSu13VDMM15SNFD",130,0.833333333333333,6,"Lake_Michigan"
"4247","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Sp13VDMM110SDSp13VDMM110SDFD",2411,0.833390943657103,4,"Lake_Michigan"
"4248","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Sp13VDMM110SDSp13VDMM110SDFD",2411,0.833390943657103,5,"Lake_Michigan"
"4249","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Sp13VDMM110SDSp13VDMM110SDFD",2412,0.833736605599724,5,"Lake_Michigan"
"4250","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Sp13VDMM110SDSp13VDMM110SDFD",2412,0.833736605599724,6,"Lake_Michigan"
"4251","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Fa13VDMLBDNFa13VDMLBDNFD",4540,0.834098842550064,4,"Lake_Michigan"
"4252","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Fa13VDMLBDNFa13VDMLBDNFD",4540,0.834098842550064,5,"Lake_Michigan"
"4253","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Fa13VDMLBDNFa13VDMLBDNFD",4542,0.834466286974095,5,"Lake_Michigan"
"4254","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Fa13VDMLBDNFa13VDMLBDNFD",4542,0.834466286974095,6,"Lake_Michigan"
"4255","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Sp13VDMM110DDSp13VDMM110DDFD",1631,0.835125448028674,4,"Lake_Michigan"
"4256","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Sp13VDMM110DDSp13VDMM110DDFD",1631,0.835125448028674,5,"Lake_Michigan"
"4257","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Sp13VDMM110DDSp13VDMM110DDFD",1631,0.835125448028674,5,"Lake_Michigan"
"4258","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Sp13VDMM110DDSp13VDMM110DDFD",1631,0.835125448028674,6,"Lake_Michigan"
"4259","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Fa13VDMM15SNFa13VDMM15SNFD",6631,0.835454201839486,4,"Lake_Michigan"
"4260","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Fa13VDMM15SNFa13VDMM15SNFD",6631,0.835454201839486,5,"Lake_Michigan"
"4261","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Fa13VDMM15SNFa13VDMM15SNFD",6633,0.835706186216455,5,"Lake_Michigan"
"4262","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Fa13VDMM15SNFa13VDMM15SNFD",6633,0.835706186216455,6,"Lake_Michigan"
"4263","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Su13VDMM110DCMDSu13VDMM110DCMDFD",6837,0.836330275229358,4,"Lake_Michigan"
"4264","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Su13VDMM110DCMDSu13VDMM110DCMDFD",6837,0.836330275229358,5,"Lake_Michigan"
"4265","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Su13VDMM110DCMDSu13VDMM110DCMDFD",6839,0.836574923547401,5,"Lake_Michigan"
"4266","1 1 1 1 1 1","tv DVF tnv VB VS VS2","Su13VDMM110DCMDSu13VDMM110DCMDFD",6839,0.836574923547401,6,"Lake_Michigan"
"4267","1 1 0 0 0 0","tv DVF 0 0 0 0","Sp13VDMM110DDSp13VDMM110DDFD",1636,0.83768561187916,2,"Lake_Michigan"
"4268","1 1 0 0 1 0","tv DVF 0 0 VS 0","Sp13VDMM110DDSp13VDMM110DDFD",1636,0.83768561187916,3,"Lake_Michigan"
"4269","1 1 1 0 0 1","tv DVF tnv 0 0 VS2","Fa13NDMM110DNFa13NDMM110DNFD",5044,0.839128264847779,4,"Lake_Michigan"
"4270","1 1 1 0 1 1","tv DVF tnv 0 VS VS2","Fa13NDMM110DNFa13NDMM110DNFD",5044,0.839128264847779,5,"Lake_Michigan"
"4271","1 1 1 1 0 1","tv DVF tnv VB 0 VS2","Fa13NDMM110DNFa13NDMM110DNFD",5045,0.83929462651805,5,"Lake_Michigan"
